"fold","cost","gamma","mean.f1"
1,0.1,0.03125,0.738646345647036
1,1,0.03125,0.75331709300533
1,10,0.03125,0.748344391282614
1,100,0.03125,0.757371244610899
1,0.1,0.125,0.749835549092923
1,1,0.125,0.75525368428878
1,10,0.125,0.766690416022768
1,100,0.125,0.769612945060649
1,0.1,0.5,0.753741945694687
1,1,0.5,0.767415711739241
1,10,0.5,0.763061093546789
1,100,0.5,0.762369608477903
1,0.1,2,0.750792747439533
1,1,2,0.763841004091043
1,10,2,0.75866488265435
1,100,2,0.757900425254297
2,0.1,0.03125,0.740343868818805
2,1,0.03125,0.74396256684492
2,10,0.03125,0.745513922342886
2,100,0.03125,0.741429958042961
2,0.1,0.125,0.747631841706329
2,1,0.125,0.745971115300331
2,10,0.125,0.753665148804068
2,100,0.125,0.753651294198829
2,0.1,0.5,0.746602694344488
2,1,0.5,0.752204140561261
2,10,0.5,0.75000270343336
2,100,0.5,0.751470588235294
2,0.1,2,0.737331100551485
2,1,2,0.750004325409184
2,10,2,0.754416013784316
2,100,2,0.752209499748154
3,0.1,0.03125,0.716393632521814
3,1,0.03125,0.733127674944858
3,10,0.03125,0.734037780665665
3,100,0.03125,0.733421883635904
3,0.1,0.125,0.732527728392762
3,1,0.125,0.734237134052053
3,10,0.125,0.748259106455088
3,100,0.125,0.7504279976571
3,0.1,0.5,0.734026410564226
3,1,0.5,0.749756229685807
3,10,0.5,0.751976224494865
3,100,0.5,0.750371700696471
3,0.1,2,0.740459240091325
3,1,2,0.749007841569374
3,10,2,0.750479936340228
3,100,2,0.750454511380724
4,0.1,0.03125,0.699704060087917
4,1,0.03125,0.712168317854518
4,10,0.03125,0.70386478070415
4,100,0.03125,0.711371422564966
4,0.1,0.125,0.702792759816931
4,1,0.125,0.708581484426819
4,10,0.125,0.72637889413673
4,100,0.125,0.722006528215807
4,0.1,0.5,0.710968863751445
4,1,0.5,0.72719806547575
4,10,0.5,0.722006528215807
4,100,0.5,0.724928630748469
4,0.1,2,0.716677077334647
4,1,2,0.725535220958777
4,10,2,0.727889987936108
4,100,2,0.726470588235294
5,0.1,0.03125,0.747513230894505
5,1,0.03125,0.76008876924831
5,10,0.03125,0.758682679377354
5,100,0.03125,0.757957031023987
5,0.1,0.125,0.756420868991542
5,1,0.125,0.75770564887054
5,10,0.125,0.75514136641319
5,100,0.125,0.756505126930799
5,0.1,0.5,0.753081864041974
5,1,0.5,0.759541273942058
5,10,0.5,0.759528273983451
5,100,0.5,0.757267924125988
5,0.1,2,0.743789865343728
5,1,2,0.757372882067471
5,10,2,0.755910862044817
5,100,2,0.75589291168577
6,0.1,0.03125,0.722002290770255
6,1,0.03125,0.7354262242557
6,10,0.03125,0.729082415404389
6,100,0.03125,0.731107132079939
6,0.1,0.125,0.73335107535501
6,1,0.125,0.73203156541305
6,10,0.125,0.737066070006422
6,100,0.125,0.738351416974076
6,0.1,0.5,0.736270359335343
6,1,0.5,0.740046000407083
6,10,0.5,0.742238580717956
6,100,0.5,0.740659142923014
6,0.1,2,0.72709408378063
6,1,2,0.741518827600244
6,10,2,0.739825493498165
6,100,2,0.738268274839003
7,0.1,0.03125,0.730211345198191
7,1,0.03125,0.74708168839474
7,10,0.03125,0.748590494160461
7,100,0.03125,0.760056900752827
7,0.1,0.125,0.750097809439394
7,1,0.125,0.755584492930168
7,10,0.125,0.766653344229651
7,100,0.125,0.765893659567674
7,0.1,0.5,0.753256812408215
7,1,0.5,0.765195618918862
7,10,0.5,0.763040547419524
7,100,0.5,0.763723491137789
7,0.1,2,0.741146526327703
7,1,2,0.763070311344251
7,10,2,0.76369329801247
7,100,2,0.759202302069768
8,0.1,0.03125,0.724361279221225
8,1,0.03125,0.741675913242177
8,10,0.03125,0.736086205978446
8,100,0.03125,0.733664435215278
8,0.1,0.125,0.740284032312726
8,1,0.125,0.73849156918391
8,10,0.125,0.73185365330605
8,100,0.125,0.739822205897547
8,0.1,0.5,0.742874868599831
8,1,0.5,0.739220311182258
8,10,0.5,0.741913586004622
8,100,0.5,0.747621952493367
8,0.1,2,0.723055329129372
8,1,2,0.74637294792559
8,10,2,0.751409093944443
8,100,2,0.74122937398693
9,0.1,0.03125,0.729384045809313
9,1,0.03125,0.749996011273032
9,10,0.03125,0.743539521601902
9,100,0.03125,0.755500038778083
9,0.1,0.125,0.750784648784305
9,1,0.125,0.754111000816475
9,10,0.125,0.763594073993748
9,100,0.125,0.7628023018873
9,0.1,0.5,0.754870738595203
9,1,0.5,0.764320062257477
9,10,0.5,0.763594073993748
9,100,0.5,0.762778370227223
9,0.1,2,0.753012980750562
9,1,2,0.763614324931604
9,10,2,0.763502767788402
9,100,2,0.762029264783968
10,0.1,0.03125,0.714770748670709
10,1,0.03125,0.735441013480517
10,10,0.03125,0.728825354552421
10,100,0.03125,0.728907433619519
10,0.1,0.125,0.733933437390506
10,1,0.125,0.730532916898133
10,10,0.125,0.744503411893035
10,100,0.125,0.742841814431494
10,0.1,0.5,0.728036087032653
10,1,0.5,0.745998291435856
10,10,0.5,0.741534420632027
10,100,0.5,0.740760161597941
10,0.1,2,0.738420756799944
10,1,2,0.739312894360094
10,10,2,0.736161375309546
10,100,2,0.729053110222743
